Transaction ID,Payment Date,Payment Amount,Payment Method,Tax Type,Taxpayer ID,Taxpayer Industry,Province,Town/City,Income Level
5fd7fe25-9b99-4956-bcb1-825a78880f67,2023-12-29,2606.1,Debit Card,VAT,99a1f60a-eb79-4e15-a7df-f8c7bbe0b079,Finance,Province A,City B,Medium
0f455532-e792-463c-adeb-6a52d190a680,2024-02-06,2448.41,Bank Transfer,Property Tax,cb9de886-d028-4d00-b305-ed981fd4d7fc,Construction,Province B,City A,Medium
044c8480-ddc5-44c9-bd7e-8a561fa7d42e,2023-05-08,2721.21,Mobile Money,Sales Tax,a8f46ccc-14f7-4932-87cc-fc17cfa2e4eb,Technology,Province E,City C,Low
61390a4a-dca8-4092-a6b3-731c25c3c03c,2022-12-27,9214.16,Mobile Money,Corporate Tax,7d645df5-d44e-4153-846c-6f8d1c4c1838,Finance,Province A,City A,Low
7a1e52f9-8813-4aee-b279-ecb576fb4ad6,2023-06-25,2508.32,Bank Transfer,Income Tax,07370b7b-8e69-4fc5-813e-19f08708df7d,Finance,Province B,City B,Medium
e51a8a98-0cfb-4c9d-8f1d-0bc9111f4306,2023-03-04,1270.1,Mobile Money,Property Tax,23b6cba3-561c-403b-b69c-e0e4c8168b2c,Retail,Province D,City C,Medium
26bd501f-e907-4ac3-88eb-2da2693c95ef,2022-09-16,6086.15,Debit Card,VAT,c645faec-4dda-4882-9b42-b7045fc9b8f5,Technology,Province C,City C,High
e4b2357d-c1de-4330-9b01-5eed508b38b0,2023-09-04,1739.88,Mobile Money,Property Tax,6f60f2e6-d1af-4974-a277-82b469d4536f,Finance,Province A,Town A,High
e7594fc1-81e0-48cf-9708-468c97f2dc8e,2023-01-27,4339.42,Bank Transfer,Sales Tax,df2116b7-42e2-453c-9031-b945c36bdcb7,Finance,Province C,City B,Medium
ce2764dd-aefb-4429-9b6d-43326b9c0dd4,2023-02-04,3185.6,Bank Transfer,VAT,bb26d219-fc82-4a20-9493-0f116cf55539,Finance,Province C,City C,High
19c96a65-69ac-46e8-9bd2-bbb8dcd5334e,2024-06-30,676.23,Debit Card,Property Tax,a5f05f80-ea07-4936-84d2-b32cae3deab8,Construction,Province B,City C,Low
46bf6cc8-29aa-48a7-89f9-a5f5a5682fce,2023-10-01,1466.54,Mobile Money,Sales Tax,d77acfb0-c64f-42e9-a4b4-e178d4a6b43f,Construction,Province C,City A,Medium
2a8e7142-0c61-46dd-a3b4-c38eaf86165c,2023-05-07,9273.78,Mobile Money,VAT,b5fa277e-74c2-4be3-96af-537e758461a6,Retail,Province E,City C,Medium
879f8569-af44-4d91-a2ba-afb698a5b460,2023-08-20,1747.94,Bank Transfer,Income Tax,77d7ebef-0f37-4c03-8701-4d154623fcf0,Technology,Province A,City C,Medium
7555eb8f-73ab-4229-a9f2-6861973cd814,2023-05-27,1893.99,Credit Card,Property Tax,44ecc440-a15b-45ab-9ee5-db6be5c5fbba,Technology,Province D,Town B,High
c3e50933-2b70-4dc7-b8c3-8a422c78551b,2023-10-21,4291.78,Debit Card,VAT,32d553a8-391d-424a-bf36-6d6d85f04432,Manufacturing,Province C,Town B,Medium
246cd6a1-f0a9-43e7-8c1d-e6850cb600f0,2023-05-05,2979.86,Mobile Money,Sales Tax,8ed03b8c-312b-4ae3-b0b2-4e1286c3c0c2,Technology,Province C,City B,Medium
9c4bf774-1d50-43f2-bf21-00efff00a828,2023-06-23,4544.6,Credit Card,Sales Tax,5d8c510c-a73c-41c3-b009-ca8a9b863954,Retail,Province E,City C,Medium
24ecc0b7-0e2b-4efe-bcdb-bb3fd1548537,2024-04-27,889.47,Credit Card,Corporate Tax,9727699d-3edf-41b8-9470-c61bf79db93b,Construction,Province A,City C,Medium
c6ef85dd-e7ba-4d0a-98fa-d7afb6bd9cf4,2022-12-11,7934.88,Bank Transfer,VAT,3bd1d7d0-6be1-4d5f-9f02-c60d39586e7c,Finance,Province E,City A,Low
c2ceaddf-901a-4274-961c-d617b7ac785a,2023-01-10,4139.81,Debit Card,Income Tax,7f1a559f-a483-4111-8903-642744b428ec,Retail,Province E,City A,Medium
5c8af3d9-be60-4272-a3a1-aa2af7878233,2023-09-07,8296.23,Debit Card,VAT,8827b218-e4c9-4fa6-ba56-31e73131b0c3,Manufacturing,Province E,City B,Low
22d50f8d-0b91-4b62-bf74-cd640556b387,2023-06-09,2840.57,Credit Card,Income Tax,ce548a89-510d-4c55-83dd-9d2a59e30a97,Manufacturing,Province A,City B,Low
a4768108-4e87-4c37-ab1e-244e4a2aa1cd,2024-03-15,5946.91,Debit Card,Property Tax,054fb05b-ba14-4767-8120-dd5f1290caa4,Construction,Province A,City A,High
d0d7c267-59b4-4239-a353-a60cb24ae758,2022-10-29,9729.51,Mobile Money,Property Tax,c97586f6-dea2-4e09-a6be-2046605e23a7,Technology,Province E,Town A,Medium
f39dc508-fa5d-4159-9b3c-bddb1c7050cf,2022-09-22,9614.01,Credit Card,Sales Tax,89103b01-d133-41d5-ae26-4a8b6fc19331,Retail,Province D,City A,Low
14a2a890-4118-434b-9427-7ec18a0cd417,2023-11-09,1585.7,Debit Card,Corporate Tax,9a7fa3c1-2c96-4266-8280-79ddd9d2cc74,Construction,Province C,Town A,Low
0e2ae885-1c9c-425d-9c93-2e78bc570865,2022-09-26,4205.36,Credit Card,VAT,dce1cb0f-f010-4473-852f-0c98d75fb01c,Technology,Province A,City A,Medium
44a32a92-df8f-493c-90ae-9bfc06d1fd9b,2024-05-24,593.85,Debit Card,VAT,ba56b1ec-3728-41cd-b28b-1d50d65a34e7,Healthcare,Province E,Town B,High
f80259bb-3a04-417f-a884-d1a886a554e8,2022-09-19,6425.67,Credit Card,Sales Tax,74be2315-79d9-47e6-aa53-e3eb5a3e47dc,Retail,Province B,City B,Medium
dc0533f6-4179-4b01-81f6-fb9bd695c488,2023-01-27,3689.77,Bank Transfer,VAT,27f491d1-d4e7-4a4d-be69-6729a0878202,Construction,Province E,City C,Low
f0acde7d-a6bf-4dfd-855d-ade32bb496b6,2023-07-13,7042.59,Credit Card,VAT,f3787131-ed8b-45e7-ac51-143683667e97,Manufacturing,Province B,Town A,Medium
